"personid","site_code","dob","dod","father","mother"
"ex8151","EX",NA,NA,NA,NA
"ex8152","EX",NA,NA,NA,NA
"ex8153","EX",NA,NA,NA,NA
"ex8154","EX",NA,NA,NA,NA
"ex8155","EX",NA,NA,NA,NA
"ex8156","EX",NA,NA,NA,NA
"ex8157","EX",NA,NA,NA,NA
"ex8158","EX",NA,NA,NA,NA
"ex8159","EX",NA,NA,NA,NA
"ex8160","EX",NA,NA,NA,NA
"ex8161","EX",NA,NA,NA,NA
"ex8162","EX",NA,NA,NA,NA
"ex8163","EX",NA,NA,NA,NA
"ex8164","EX",NA,NA,NA,NA
"ex8165","EX",NA,NA,NA,NA
"ex8166","EX",NA,NA,NA,NA
"ex8167","EX",NA,NA,NA,NA
"ex8168","EX",NA,NA,NA,NA
"ex8169","EX",NA,NA,NA,NA
"ex8170","EX",NA,NA,NA,NA
"ex8171","EX",NA,NA,NA,NA
"ex8172","EX",NA,NA,NA,NA
"ex8173","EX",NA,NA,NA,NA
"ex8174","EX",NA,NA,NA,NA
"ex8175","EX",NA,NA,NA,NA
"ex8176","EX",NA,NA,NA,NA
"ex8177","EX",NA,NA,NA,NA
"ex8178","EX",NA,NA,NA,NA
"ex8179","EX",NA,NA,NA,NA
"ex8180","EX",NA,NA,NA,NA
"ex8181","EX",NA,NA,NA,NA
"ex8182","EX",NA,NA,NA,NA
"ex8183","EX",NA,NA,NA,NA
"ex8184","EX",NA,NA,NA,NA
"ex8185","EX",NA,NA,NA,NA
"ex8186","EX",NA,NA,NA,NA
"ex8187","EX",NA,NA,NA,NA
"ex8188","EX",NA,NA,NA,NA
"ex8189","EX",NA,NA,NA,NA
"ex8190","EX",NA,NA,NA,NA
"ex8191","EX",NA,NA,NA,NA
"ex8192","EX",NA,NA,NA,NA
"ex8193","EX",NA,NA,NA,NA
"ex8194","EX",NA,NA,NA,NA
"ex8195","EX",NA,NA,NA,NA
"ex8196","EX",NA,NA,NA,NA
"ex8197","EX",NA,NA,NA,NA
"ex8198","EX",NA,NA,NA,NA
